star_s,star_b,cross_point_x,cross_point_y,TBL_S,TBL_B,vel_mod_s,vel_mod_b,angle,parallax_s,parallax_err_s,parallax_b,parallax_err_b,ruwe_s,ruwe_b
5,78,0.00034514565455748877,0.002292769755957455,84863.14239187955,102373.54451193646,3.1771516501368553,3.051538664011953,1.8385804424117749,2.58,0.0228339,3.03,0.028528037,0.96506596,1.122256
5,145,-0.003488509792406353,-0.008203094447365816,409542.3056483603,348366.9390449082,3.1771516501368553,1.5305264682986954,1.0980234919095844,2.58,0.0228339,2.52,0.01763839,0.96506596,1.1327322
5,160,-0.0019355825469705408,-0.003951456888585255,278022.1089009956,254781.5089779314,3.1771516501368553,0.42010891113055177,2.425115491992063,2.58,0.0228339,2.27,0.21741639,0.96506596,1.1721663
5,339,0.0005047155873370359,0.002729643744389036,71348.87827177256,76740.64913898538,3.1771516501368553,2.8043347282936613,2.7669276059347743,2.58,0.0228339,2.62,0.052369032,0.96506596,0.95063806
5,377,0.00020329344009808277,0.0019044037171978274,96876.861134714,120356.08958898399,3.1771516501368553,1.3357834597772433,2.950915920349833,2.58,0.0228339,3.07,0.30787942,0.96506596,0.28416348
5,382,-0.00016060226496725444,0.0009081222418860016,127695.84178327801,111623.77173316972,3.1771516501368553,2.206198525978561,1.3013183266464732,2.58,0.0228339,2.65,0.06287186,0.96506596,1.0728017
5,401,0.00038127871267064134,0.002391695618349912,81802.96882219496,71085.58442507675,3.1771516501368553,2.8921496799173063,1.7397261491274607,2.58,0.0228339,2.55,0.08653865,0.96506596,0.94592136
5,404,0.001210597456152135,0.004662222282332228,11566.475367954961,13110.299410236194,3.1771516501368553,3.388320748509182,2.1051289387858816,2.58,0.0228339,2.56,0.023880843,0.96506596,1.3560641
5,449,-0.0023321940978351325,-0.005037308509038264,311611.85327266424,307381.312508467,3.1771516501368553,2.5783740225979335,2.087981380660441,2.58,0.0228339,2.46,0.024411386,0.96506596,1.0102024
5,488,0.00043033300606065174,0.0025259975161428627,77648.47263641484,70998.6571904912,3.1771516501368553,3.5921300122756654,2.8763975460674254,2.58,0.0228339,4.0,0.5412579,0.96506596,3.1935418
5,489,-0.0018768632353844497,-0.00379069389643677,273049.06497033464,262146.2528451465,3.1771516501368553,0.6390727779693799,1.621138451341619,2.58,0.0228339,2.54,0.063711904,0.96506596,1.0504785
5,510,-0.0016261061286781567,-0.0031041657051534607,251811.99536083324,303687.8326768808,3.1771516501368553,0.9300263727025322,2.065946067524347,2.58,0.0228339,2.51,0.037920143,0.96506596,1.1400192
5,607,-0.000928282678967086,-0.001193649680072852,192712.07444008958,180979.33838194315,3.1771516501368553,2.885861542628147,1.2104628640353052,2.58,0.0228339,2.3,0.11214015,0.96506596,0.9912885
5,814,-0.0004151658846177867,0.0002111724977261623,149255.29180874492,129489.72843769536,3.1771516501368553,0.9780526388048795,1.9283299360344555,2.58,0.0228339,2.65,0.13068704,0.96506596,0.7808712
5,826,-0.004265381923915079,-0.010330031650895572,475337.00136502803,466038.5792207894,3.1771516501368553,1.450312872083955,1.1462128823874624,2.58,0.0228339,2.6,0.024991501,0.96506596,1.0991955
5,947,-0.00019995941652006712,0.0008003693872430289,131029.06961533215,151817.23594319558,3.1771516501368553,1.9522916615728865,1.9639594315597455,2.58,0.0228339,2.51,0.052866183,0.96506596,0.9457353
5,1063,-0.002900145665186534,-0.0065922585058372715,359712.6912871764,396188.1510567091,3.1771516501368553,0.4656352679241419,1.1079071623982713,2.58,0.0228339,2.53,0.08088999,0.96506596,1.0140506
5,1072,-0.002410001466017272,-0.0052503311924159465,318201.49898967124,338528.36945436726,3.1771516501368553,2.318299743632782,1.1772704799627904,2.58,0.0228339,2.4,0.10305976,0.96506596,1.4884486
5,1235,-0.0004658850580094827,7.231245571439303e-05,153550.789671214,182799.07205039074,3.1771516501368553,2.6091393922012456,1.209836800815756,2.58,0.0228339,3.34,0.01643957,0.96506596,1.0573809
5,1280,-3.17499723175808e-05,0.0012608968155657834,116783.10976029249,109006.97103815615,3.1771516501368553,6.86791036308854,1.941927578185115,2.58,0.0228339,2.65,0.02273873,0.96506596,1.0286908
6,232,-0.006338066203782803,0.010698108078000779,13483.671079674952,11663.46196911292,60.538585062415926,11.719310803470869,2.0683071050166264,3.85,0.017798165,3.0,0.013360838,1.0322235,0.97155327
7,8,-0.00474956834092417,-0.0002774229695175338,245379.2159907699,227620.9124124906,1.8489923598559836,1.6834723036275323,1.594266297368083,2.39,0.49119495999999996,1.12,0.041466866,0.39307168,1.0072739
7,148,-0.0004831969873206591,-0.0004007440294404243,32278.23318301368,38542.991587588025,1.8489923598559836,5.128511828406414,1.0773569794968734,2.39,0.49119495999999996,2.38,0.066771016,0.39307168,0.9719005
7,161,-0.006656061769595927,-0.00022231506378840758,340606.65628926316,396942.5863432869,1.8489923598559836,2.5767080026129934,1.2641579070281959,2.39,0.49119495999999996,2.53,0.029283006,0.39307168,0.9848382
7,173,-0.006283671164121917,-0.00023307915354200894,322006.1179306274,378412.85557168943,1.8489923598559836,0.8592808208963412,1.6117315709194338,2.39,0.49119495999999996,2.48,0.047296148,0.39307168,1.1055255
7,178,-0.0026109592014134787,-0.00033924026669736784,138557.8280479585,136596.201503028,1.8489923598559836,1.055403954250021,1.3649433028184055,2.39,0.49119495999999996,2.58,0.051492505,0.39307168,1.0801182
7,204,-0.0013600219395211396,-0.00037539907619792926,76074.76273416608,68929.31052496076,1.8489923598559836,3.394897063365883,1.1051311831274986,2.39,0.49119495999999996,2.42,0.08120868,0.39307168,0.9532754
7,259,-0.002188708623209904,-0.0003514455776141347,117466.83391067518,140306.3322919597,1.8489923598559836,1.5827957540141369,1.035116765544291,2.39,0.49119495999999996,2.47,0.08790901,0.39307168,0.74761844
