,star_s,star_b,cross_point_x,cross_point_y,TBL_S,TBL_B,vel_mod_s,vel_mod_b,angle,parallax_s,parallax_err_s,parallax_b,parallax_err_b,ruwe_s,ruwe_b,star_score,star_score_ID
2277,220,1088,0.0005103446005756,-0.003402331818484,162310.81879336492,142171.27912947437,1.8924043211423045,3.1370978626572943,2.253308874168756,2.49,0.042015303,3.62,0.44392776,1.0660409,2.6819794,2.7756219333764753,220.0
3756,425,741,-0.0085314519125662,0.001065487801857,250423.8262280419,228418.90662725625,3.4350920605380284,2.909984752295708,1.1565055636370447,2.84,0.05849456,2.47,0.11725523,1.0298138,0.9438269,2.7750690511350427,741.0
3398,367,741,-0.0034564051185153,0.0006330803653041,65418.97286818644,66834.07826494005,4.820325973232456,2.909984752295708,1.1573142283104547,2.6,0.022930823,2.47,0.11725523,1.1049287,0.9438269,2.7750690511350427,741.0
4354,509,741,-0.0021196590984984,0.0005191860618042,24909.086788547167,24273.31282300467,13.660398628632612,2.909984752295708,1.5750710093183902,1.38,0.146127,2.47,0.11725523,1.0067515,0.9438269,2.7750690511350427,741.0
1286,133,741,-0.0028669214549384,0.0005828547949397,47375.47435022561,48065.459872470594,6.355292646961591,2.909984752295708,1.142793296877389,2.02,0.23912829,2.47,0.11725523,5.8559885,0.9438269,2.7750690511350427,741.0
647,65,855,-0.0115409748875539,-0.0008759559728101,532112.3005330687,502265.61163134745,1.762568242030354,1.6675398702028656,1.0187812571717003,2.49,0.05129176,2.44,0.028472774,0.9299083,1.1067127,2.770087393635624,855.0
4123,479,855,-0.0100671912624627,0.0013463454267077,298657.59870464,354640.8053006412,3.005106686869061,1.6675398702028656,1.1736868675117198,2.53,0.06582504,2.44,0.028472774,0.8622481,1.1067127,2.770087393635624,855.0
1315,137,855,-0.011213691073225,-0.0003824484685606,497667.9768327665,469482.5023045074,2.0821945223926144,1.6675398702028656,1.0238962958381272,2.42,0.077415854,2.44,0.028472774,0.92318964,1.1067127,2.770087393635624,855.0
2756,272,855,-0.0112530546492089,-0.0004418043526332,456459.07370737,473425.4422192808,1.9072823850425584,1.6675398702028656,1.465341510276842,2.53,0.040155217,2.44,0.028472774,1.0898871,1.1067127,2.770087393635624,855.0
2162,214,855,-0.0109851430176639,-3.782348081913904e-05,457087.50811263407,446589.47929552576,3.672536934339506,1.6675398702028656,1.6109782456478907,1.02,0.040975425,2.44,0.028472774,1.1653367,1.1067127,2.770087393635624,855.0
4108,477,855,-0.008865908211751,0.003157746340223,205999.9992034205,234311.6235330572,3.72824913271053,1.6675398702028656,1.2488203556879036,2.54,0.2025974,2.44,0.028472774,0.94288516,1.1067127,2.770087393635624,855.0
3765,425,855,-0.0091170420145811,0.0027790645636079,299090.3332550127,259466.9980227173,3.4350920605380284,1.6675398702028656,2.226715079514969,2.84,0.05849456,2.44,0.028472774,1.0298138,1.1067127,2.770087393635624,855.0
3971,453,855,-0.007699535263586,0.0049165067111062,129556.75394359558,117479.2896335779,3.4494060482239477,1.6675398702028656,1.451312513984396,2.27,0.09494454,2.44,0.028472774,4.7161474,1.1067127,2.770087393635624,855.0
4424,518,855,-0.0087049752926601,0.0034004152403486,198983.99190393015,218191.42066979824,3.7771567700962727,1.6675398702028656,1.310421262060275,3.0,0.66788673,2.44,0.028472774,1.0685196,1.1067127,2.770087393635624,855.0
3638,407,855,-0.0082618362929915,0.0040686194477903,187571.9642011225,173803.41968381786,4.91138173281568,1.6675398702028656,1.073373194803295,0.53,0.25384042,2.44,0.028472774,14.080531,1.1067127,2.770087393635624,855.0
5350,692,855,-0.0083385050597553,0.0039530114950503,180101.2206882857,181483.11679296743,3.9716746180442777,1.6675398702028656,1.148794690341798,2.76,0.14870085,2.44,0.028472774,1.0736032,1.1067127,2.770087393635624,855.0
3701,418,855,-0.0107484367213244,0.0003191032244815,397659.7669710432,422879.268000288,1.6984240221735944,1.6675398702028656,1.5320573824771269,2.51,0.063759685,2.44,0.028472774,1.0897961,1.1067127,2.770087393635624,855.0
4527,538,855,-0.0084758661957408,0.0037458862159096,197609.84132023476,195242.1997085304,2.024232697619803,1.6675398702028656,1.3303570132824016,2.53,0.025240753,2.44,0.028472774,1.0445582,1.1067127,2.770087393635624,855.0
1034,97,855,-0.0089735792807394,0.0029953903720693,203395.15364447585,245096.73502176764,4.266652274068632,1.6675398702028656,1.526693257858183,2.7,0.06866096,2.44,0.028472774,3.6525795,1.1067127,2.770087393635624,855.0
1112,109,855,-0.0086880290196933,0.0034259683307003,213509.49082287223,216493.9596435214,1.995428429672879,1.6675398702028656,1.702708108338819,1.82,0.16933973,2.44,0.028472774,2.1389198,1.1067127,2.770087393635624,855.0
1581,166,855,-0.0083531856779168,0.003930874759555,148399.79692263532,182953.63347940863,7.972327744693972,1.6675398702028656,2.29611436543943,0.73,0.046569068,2.44,0.028472774,1.0254942,1.1067127,2.770087393635624,855.0
5377,696,855,-0.0095810170916068,0.0020794418744551,350009.848104868,305942.0909210725,1.9387800323401412,1.6675398702028656,1.9275672095494996,2.5,0.017166633,2.44,0.028472774,1.1854056,1.1067127,2.770087393635624,855.0
3536,392,855,-0.0084938497857581,0.0037187689670927,226817.18774313483,197043.56589840903,2.120987645322621,1.6675398702028656,1.0367318040115907,2.51,0.03178257,2.44,0.028472774,1.0536661,1.1067127,2.770087393635624,855.0
4690,576,855,-0.0082083469608149,0.0041492753973691,136544.33874178023,168445.54206264357,5.771105198034698,1.6675398702028656,1.4091177010564613,2.74,0.104780644,2.44,0.028472774,0.8381794,1.1067127,2.770087393635624,855.0
3586,400,855,-0.0079985544852665,0.0044656190614471,129533.78896431916,147431.21333405448,3.5146137688061647,1.6675398702028656,1.32221663195698,2.54,0.06403315,2.44,0.028472774,1.1326234,1.1067127,2.770087393635624,855.0
4987,628,855,-0.0105788568664371,0.0005748107397708,366184.7425950408,405892.925630134,2.3440540557212945,1.6675398702028656,1.609815550207307,2.49,0.05576879,2.44,0.028472774,1.1756179,1.1067127,2.770087393635624,855.0
2540,245,855,-0.0088285026845861,0.0032141497049727,264381.19030366867,230564.8159220904,2.5435525334862903,1.6675398702028656,1.669663224933962,2.44,0.053148083,2.44,0.028472774,0.9946095,1.1067127,2.770087393635624,855.0
2840,282,855,-0.0098185005629885,0.0017213432758354,284811.8163631172,329730.14967854257,2.8995520931189107,1.6675398702028656,1.488676214950447,2.49,0.101697855,2.44,0.028472774,0.9276012,1.1067127,2.770087393635624,855.0
3472,382,786,-0.0022683111966164,0.00107862889146,200107.4251869599,236954.6298262919,2.206198525978561,1.3204740442790193,1.2389110192025006,2.65,0.06287186,2.52,0.043134883,1.0728017,1.0076303,2.7688831058351058,786.0
3635,407,786,-0.0012315056389405,0.0034472073568443,54911.1801188751,56193.26592286738,4.91138173281568,1.3204740442790193,1.246351168555953,0.53,0.25384042,2.52,0.043134883,14.080531,1.0076303,2.7688831058351058,786.0
378,35,786,-0.0012635564192225,0.0033739874677216,58963.48005310322,61781.14372218394,20.3497153624504,1.3204740442790193,1.9834547383979568,2.02,0.05791169,2.52,0.043134883,0.96840405,1.0076303,2.7688831058351058,786.0
2221,216,786,-0.0011094129382182,0.0037261276804965,30770.724066826628,34907.07301830486,5.634951589168753,1.3204740442790193,2.239117011335454,1.98,1.1021203,2.52,0.043134883,1.178706,1.0076303,2.7688831058351058,786.0
2483,240,905,-0.0031990291605517,-0.0003252287882523,97944.42592822573,102580.31410277636,1.786717752658564,5.275504525298119,2.191374920455903,2.57,0.069575384,2.59,0.020753562,0.84162647,1.4011285,2.761011629983998,240.0
2495,240,1182,-0.0031331027232523,-0.0006255820799566,82056.22758318835,80172.30905333391,1.786717752658564,3.5468791445506413,2.1176756382502777,2.57,0.069575384,2.52,0.05141457,0.84162647,1.0393113,2.761011629983998,240.0
2493,240,1163,-0.0033764638894239,0.0004831434985345,140705.99899514165,127104.23084264298,1.786717752658564,2.802465607839303,1.762109997017893,2.57,0.069575384,2.35,0.13885291,0.84162647,1.0493916,2.761011629983998,240.0
2492,240,1148,-0.0031376712725132,-0.0006047682931808,83157.24289329145,94887.61219636528,1.786717752658564,1.9990705137590103,1.6711296564118745,2.57,0.069575384,2.32,0.17772442,0.84162647,1.0738277,2.761011629983998,240.0
2491,240,1147,-0.0030539870687405,-0.0009860239335034,62989.442503161656,56735.08006858396,1.786717752658564,2.748370378213855,1.4297919865057165,2.57,0.069575384,2.4,0.10113244,0.84162647,0.93074054,2.761011629983998,240.0
2490,240,1118,-0.0035345779174013,0.001203492886625,178811.30455302596,168704.55691144924,1.786717752658564,4.3221977285804325,2.073063888666902,2.57,0.069575384,2.47,0.02906436,0.84162647,1.0381736,2.761011629983998,240.0
2489,240,1010,-0.0032801974781441,4.456476300904481e-05,117505.90053640815,99713.28060664714,1.786717752658564,2.4392679086591134,1.5176207606457628,2.57,0.069575384,2.53,0.10342994,0.84162647,0.75934803,2.761011629983998,240.0
2488,240,1002,-0.0029512900397663,-0.0014538998261528,38239.57230498953,33772.98650526528,1.786717752658564,10.007651405208508,2.1628540798388,2.57,0.069575384,1.58,0.278501,0.84162647,1.891521,2.761011629983998,240.0
2486,240,929,-0.0033148234000943,0.0002023164945158,125850.7093621442,116942.12809675098,1.786717752658564,2.0519214779948616,1.5818990247472446,2.57,0.069575384,2.39,0.22328094,0.84162647,0.8431401,2.761011629983998,240.0
2485,240,926,-0.0037476250944468,0.0021741114053126,230155.43817237025,255956.10168947547,1.786717752658564,3.2446456726557837,2.2689853948116383,2.57,0.069575384,2.46,0.02770854,0.84162647,2.2825937,2.761011629983998,240.0
2484,240,918,-0.00311609282643,-0.0007030772201673,77956.86129538216,67093.5946421068,1.786717752658564,3.9568515734406855,2.4705474501915075,2.57,0.069575384,2.18,0.16727875,0.84162647,1.0751456,2.761011629983998,240.0
2480,240,735,-0.0036686483637196,0.0018143024726046,211122.1335705045,216365.66097107483,1.786717752658564,3.0776690221559995,2.490041870308445,2.57,0.069575384,2.6,0.02731775,0.84162647,1.042255,2.761011629983998,240.0
2468,240,380,-0.0030929465164727,-0.0008085291552525,72378.6262409405,73572.69994385434,1.786717752658564,2.6235087375539354,2.0965455018891457,2.57,0.069575384,2.46,0.099970125,0.84162647,1.9978999,2.761011629983998,240.0
2479,240,728,-0.0038596056596905,0.0026842820251069,257142.63032568264,221224.31440396892,1.786717752658564,3.885630985081144,2.296393126742151,2.57,0.069575384,2.57,0.035612594,0.84162647,1.0525026,2.761011629983998,240.0
2478,240,725,-0.003063414886336,-0.0009430718771756,65261.5360979777,65902.40117330606,1.786717752658564,5.001640952405177,1.4489684876978517,2.57,0.069575384,2.47,0.08647695,0.84162647,0.76054484,2.761011629983998,240.0
2477,240,697,-0.0032649758569241,-2.4783198533461385e-05,113837.50668742,135012.03065878776,1.786717752658564,2.528013983746677,1.8432711494861216,2.57,0.069575384,2.67,0.21358116,0.84162647,0.9638647,2.761011629983998,240.0
2475,240,637,-0.0043310372359269,0.0048320702499257,370757.1178694154,316347.04376600176,1.786717752658564,1.9765677342914951,1.069656867750119,2.57,0.069575384,2.28,0.106722146,0.84162647,0.9822683,2.761011629983998,240.0
